"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Teddy Bridgewater","DET","0.6","0.5","4.7","0.1","0.0","0.1","0.3","0.0","0.0","0.5"
"Tyler Shough","NO","0.8","0.5","4.9","0.1","0.0","0.1","0.5","0.0","0.0","0.4"
"Brandon Allen","NYG","0.7","0.5","4.8","0.1","0.0","0.1","0.3","0.0","0.0","0.4"
"Anthony Richardson Sr.","IND","0.6","0.4","4.3","0.1","0.0","0.2","0.7","0.0","0.0","0.4"
"Drew Lock","SEA","0.7","0.5","4.6","0.1","0.1","0.1","0.5","0.0","0.0","0.4"
"Dillon Gabriel","CLE","0.6","0.4","3.7","0.1","0.0","0.1","0.3","0.0","0.0","0.4"
"Trey Lance","LAC","0.8","0.5","5.0","0.0","0.0","0.2","0.6","0.0","0.0","0.3"
"Kyle Allen","BUF","0.5","0.4","4.8","0.0","0.0","0.1","0.1","0.0","0.0","0.2"
"Trevor Siemian","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeff Driskel","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Huntley","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shane Buechele","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean Clifford","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle McCord","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bailey Zappe","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skylar Thompson","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Hendon Hooker","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Oladokun","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kurtis Rourke","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Miller","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
